MassFeature,FinalBMIS,Orig_RSD,FinalRSD,QC_area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,Area,MassFeature_Column,Volume_filtered_L,umolCFiltered,Adjusted_Area_VolNormed,Adjusted_Area_CNormed,Datsum,Rank,RankPercent,z,Vol_recon_uL,Dilution_Factor,RP_stdVolpersmpVol,Identification,RFmax,RFmin,RF,RFratio,RFratioFlag,nmolperumolCinEnviroave,RFFlag,Emperical.Formula,C,N,nmolCave,nmolNave,totalCmeasured_nM,totalNmeasured_nM,molFractionC,molFractionN,PC_ave,molFractionC_pertotalC
Cystine,Inj_vol,0.7537886521286954,0.7537886521286954,77986,200821,Smp,20ppt3C_C,C,200821,77986,200821_Smp_20ppt3C_C Cystine,HILICPos,77986,Cystine_X_HILICPos,0.6,64.52739864,129976.66666666667,1208.5718879678675,2923240,65,0.015151515151515138,1,400,1,1,Cystine,4267300.5,4122100.5,4194700.5,0.7395318327462561,NA,2.5973076730698814e-4,NA,C6H12N2O4S2,6,2,0.0015583846038419288,5.194615346139763e-4,45.96843661127442,14.738646281675564,3.390118783068886e-5,3.524486066673698e-5,107.5456644,1.4490445640335164e-8
Cytidine,"Taurine, D4",0.2490227561765087,0.10586453196945457,22046504,200821,Smp,20ppt3C_C,C,200821,13303479.345388094,200821_Smp_20ppt3C_C Cytidine,HILICPos,22046504,Cytidine_X_HILICPos,0.6,64.52739864,22172465.575646825,206167.91666449385,662358651.6416131,38,0.4242424242424242,1,400,1,1,Cytidine,53606032,43718396,48662214,0.8486073947230495,NA,0.0033283665382998133,NA,C9H13N3O5,9,3,0.02995529884469832,0.00998509961489944,45.96843661127442,14.738646281675564,6.516492848780363e-4,6.774773899902754e-4,107.5456644,2.785356249535459e-7
Deoxyadenosine,Inj_vol,0.09496026446366113,0.09496026446366113,12309295,200821,Smp,20ppt3C_C,C,200821,12309295,200821_Smp_20ppt3C_C Deoxyadenosine,HILICPos,12309295,Deoxyadenosine_X_HILICPos,0.6,64.52739864,20515491.666666668,190760.75061810363,2026855420,44,0.33333333333333337,1,400,1,1,Deoxyadenosine,387376512,358096864,372736688,0.9813955758212205,NA,3.4765743837641353e-4,NA,C10H13N5O3,10,5,0.0034765743837641356,0.0017382871918820678,45.96843661127442,14.738646281675564,7.562959804709686e-5,1.1794076326014186e-4,107.5456644,3.232649501177042e-8
Dimethylsulfonioacetate (DMS-Ac),Inj_vol,0.06074422000301994,0.06074422000301994,35519316,200821,Smp,20ppt3C_C,C,200821,35519316,200821_Smp_20ppt3C_C Dimethylsulfonioacetate (DMS-Ac),HILICPos,35519316,Dimethylsulfonioacetate (DMS-Ac)_X_HILICPos,0.6,64.52739864,59198860,550453.2454215792,8779363844,35,0.4696969696969697,1,400,1,1,Dimethylsulfonioacetate (DMS-Ac),282902272,221366672,252134472,0.9364405313817805,NA,0.0015542352268811195,NA,C4H9O2S,4,NA,0.006216940907524478,NA,45.96843661127442,14.738646281675564,1.3524368818755269e-4,NA,107.5456644,5.780745269657265e-8
DMSP,"Sucrose, 13C",0.1479033580819769,0.07493425973463536,209634816,200821,Smp,20ppt3C_C,C,200821,243449881.2222254,200821_Smp_20ppt3C_C DMSP,HILICPos,209634816,DMSP_X_HILICPos,0.6,64.52739864,405749802.0370423,3772814.1278472804,82766038897.41449,18,0.7272727272727273,1,400,1,1,DMSP,379205792,253701088,316453440,0.8689390209347154,NA,0.009146923130486559,NA,C5H10O2S,5,NA,0.045734615652432795,NA,45.96843661127442,14.738646281675564,9.949134454839328e-4,NA,107.5456644,4.252576420219948e-7
Ectoine,Inj_vol,0.07107179571045534,0.07107179571045534,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C Ectoine,HILICPos,0,Ectoine_X_HILICPos,0.6,64.52739864,NA,NA,1543734727,66,0,1,400,1,1,Ectoine,797561472,650853440,724207456,0.8153174039487172,NA,NA,NA,C6H10N2O2,6,2,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
Ergothioneine,Inj_vol,2.4412348567342304,2.4412348567342304,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C Ergothioneine,HILICPos,0,Ergothioneine_X_HILICPos,0.6,64.52739864,NA,NA,2177785,66,0,1,400,1,1,Ergothioneine,45517900,39848964,42683432,0.8708830132664496,NA,NA,NA,C9H15N3O2S,9,3,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
Glucosamine,"Taurine, D4",0.5014914665128996,0.3664168275623495,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C Glucosamine,HILICPos,0,Glucosamine_X_HILICPos,0.6,64.52739864,NA,NA,1873339.6778343567,66,0,1,400,1,1,Glucosamine,20254008,14912321.6,17583164.8,0.6412909455495739,NA,NA,NA,C6H13NO5,6,1,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
Glucosylglycerol,Inj_vol,0.09810091545103176,0.09810091545103176,140046592,200821,Smp,20ppt3C_C,C,200821,140046592,200821_Smp_20ppt3C_C Glucosylglycerol,HILICPos,140046592,Glucosylglycerol_X_HILICPos,0.6,64.52739864,233410986.6666667,2170343.0628177575,3924935237,25,0.6212121212121212,1,400,1,1,Glucosylglycerol,2135378.75,1486783.75,1811081.25,1.5728949223545547,NA,0.5079248764970355,NA,C9H18O8,9,NA,4.57132388847332,NA,45.96843661127442,14.738646281675564,0.09944484140563827,NA,107.5456644,4.250588728031811e-5
Glutamic acid,"DL-Proline, D7",0.13751320090101243,0.05477330382857603,784006528,200821,Smp,20ppt3C_C,C,200821,573224686.5297021,200821_Smp_20ppt3C_C Glutamic acid,HILICPos,784006528,Glutamic acid_X_HILICPos,0.6,64.52739864,955374477.5495034,8883430.893096082,40607384620.68116,8,0.8787878787878788,1,400,1,1,Glutamic acid,15612277,13353617,14482947,1.692480604672299,NA,0.24160661860654825,NA,C5H9NO4,5,1,1.2080330930327412,0.24160661860654825,45.96843661127442,14.738646281675564,0.026279621020142627,0.01639272793370011,107.5456644,1.123274564132723e-5
Glutamine,"DL-Proline, D7",0.16664296512696775,0.06936278702579327,5262045184,200821,Smp,20ppt3C_C,C,200821,3847333017.4918246,200821_Smp_20ppt3C_C Glutamine,HILICPos,5262045184,Glutamine_X_HILICPos,0.6,64.52739864,6412221695.819708,59623246.846757196,78115320897.72955,1,0.9848484848484849,1,400,1,1,Glutamine,53671912,41966268,47819090,0.9035620590485672,NA,0.9199517917830121,NA,C5H10N2O3,5,2,4.599758958915061,1.8399035835660242,45.96843661127442,14.738646281675564,0.10006341955486264,0.12483531719283887,107.5456644,4.277028725032509e-5
Glutamylphenylalanine,"DL-Histidine, 15N",0.20769089361639828,0.10700488174508473,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C Glutamylphenylalanine,HILICPos,0,Glutamylphenylalanine_X_HILICPos,0.6,64.52739864,NA,NA,2861779.4636251507,66,0,1,400,1,1,Glutamylphenylalanine,71626560,40982200,56304380,0.5191770643148433,NA,NA,NA,C14H18N2O5,14,2,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
Glutathione Disulfide,"DL-Proline, D7",0.12029611031355318,0.048203098214577834,884592,200821,Smp,20ppt3C_C,C,200821,646767.5380206557,200821_Smp_20ppt3C_C Glutathione Disulfide,HILICPos,884592,Glutathione Disulfide_X_HILICPos,0.6,64.52739864,1077945.896701093,10023.146007000658,75703622.9837545,57,0.13636363636363635,1,400,1,1,Glutathione Disulfide,2575510,2490756.25,2533133.125,0.7645679378677415,NA,0.0034501557568491605,NA,C20H32N6O12S2,20,6,0.0690031151369832,0.020700934541094965,45.96843661127442,14.738646281675564,0.0015010977145143805,0.0014045343205523742,107.5456644,6.416168938278761e-7
Glycerophosphocholine,Inj_vol,0.11968027864661171,0.11968027864661171,3958048768,200821,Smp,20ppt3C_C,C,200821,3958048768,200821_Smp_20ppt3C_C Glycerophosphocholine,HILICPos,3958048768,Glycerophosphocholine_X_HILICPos,0.6,64.52739864,6596747946.666667,61339041.26651773,105399193827,2,0.9696969696969697,1,400,1,1,Glycerophosphocholine,95102816,89048104,92075460,2.1455167341319523,NA,0.20699979776945368,NA,C8H21NO6P,8,1,1.6559983821556294,0.20699979776945368,45.96843661127442,14.738646281675564,0.03602468354883037,0.014044695409158085,107.5456644,1.5398095231402273e-5
Glycine,"DL-Proline, D7",0.15795180839134,0.07355055261884777,6339001,200821,Smp,20ppt3C_C,C,200821,4634746.945801538,200821_Smp_20ppt3C_C Glycine,HILICPos,6339001,Glycine_X_HILICPos,0.6,64.52739864,7724578.243002565,71826.03116637182,182220935.594088,48,0.2727272727272727,1,400,1,1,Glycine,2690345.25,2182565.75,2436455.5,0.8509920425996018,NA,0.02309439702719353,NA,C2H5NO2,2,1,0.04618879405438706,0.02309439702719353,45.96843661127442,14.738646281675564,0.0010047936684246207,0.0015669279651487804,107.5456644,4.2948076346987593e-7
Gonyol,Inj_vol,0.10227796456397575,0.10227796456397575,50122780,200821,Smp,20ppt3C_C,C,200821,50122780,200821_Smp_20ppt3C_C Gonyol,HILICPos,50122780,Gonyol_X_HILICPos,0.6,64.52739864,83537966.66666667,776767.4051085844,4969360148,32,0.5151515151515151,1,400,1,1,Gonyol,30501442,22364482,26432962,1.1297021813067452,NA,0.01734163077522824,NA,C7H14O3S,7,NA,0.12139141542659768,NA,45.96843661127442,14.738646281675564,0.0026407557962679264,NA,107.5456644,1.128742995859884e-6
Guanosine,"Cytosine, 13C2-15N3",0.13317659048908015,0.060720339102239396,27466386,200821,Smp,20ppt3C_C,C,200821,21840288.516492344,200821_Smp_20ppt3C_C Guanosine,HILICPos,27466386,Guanosine_X_HILICPos,0.6,64.52739864,36400480.86082058,338465.34924396797,1338721331.0733006,36,0.4545454545454546,1,400,1,1,Guanosine,37312308,36150508,36731408,0.9696590212918228,NA,0.006335287618515585,NA,C10H13N5O5,10,5,0.06335287618515585,0.031676438092577926,45.96843661127442,14.738646281675564,0.001378182093093365,0.0021492094651841247,107.5456644,5.890788488648349e-7
Homoserine,"Sulfoacetic Acid, 13C2",0.16224366241666677,0.07152334818788122,195583808,200821,Smp,20ppt3C_C,C,200821,113661597.46206379,200821_Smp_20ppt3C_C Homoserine,HILICPos,195583808,Homoserine_X_HILICPos,0.6,64.52739864,189435995.77010632,1761447.0729896417,6809828782.452495,20,0.696969696969697,1,400,1,1,Homoserine,30598664,28007894,29303279,0.72586524411149,NA,0.05520852154577962,NA,C4H9NO3,4,1,0.22083408618311848,0.05520852154577962,45.96843661127442,14.738646281675564,0.0048040373452456235,0.0037458339450360456,107.5456644,2.053398316102815e-6
Hydroxyectoine,Inj_vol,0.1261175177999757,0.1261175177999757,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C Hydroxyectoine,HILICPos,0,Hydroxyectoine_X_HILICPos,0.6,64.52739864,NA,NA,75192231,66,0,1,400,1,1,Hydroxyectoine,2002362240,1607926400,1805144320,0.9824688040197538,NA,NA,NA,C6H10N2O3,6,2,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
Hydroxylysine,"Sulfolactic Acid, 13C3",0.9514847843035261,0.7003824544007171,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C Hydroxylysine,HILICPos,0,Hydroxylysine_X_HILICPos,0.6,64.52739864,NA,NA,32437.43572549439,66,0,1,400,1,1,Hydroxylysine,5992251,4093325.5,5042788.25,0.9674481921196855,NA,NA,NA,C6H14N2O3,6,2,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
Hypotaurine,"Sulfoacetic Acid, 13C2",0.1432204476029936,0.0596514093863772,2684211,200821,Smp,20ppt3C_C,C,200821,1559902.7000499126,200821_Smp_20ppt3C_C Hypotaurine,HILICPos,2684211,Hypotaurine_X_HILICPos,0.6,64.52739864,2599837.833416521,24174.26911555275,153675633.50101748,53,0.19696969696969702,1,400,1,1,Hypotaurine,77099.75,64252.25,70676,1.9050659189152777,NA,0.11969613402578734,NA,C2H7NO2S,2,1,0.23939226805157468,0.11969613402578734,45.96843661127442,14.738646281675564,0.005207753095367622,0.008121243412605983,107.5456644,2.225959264719319e-6
Hypoxanthine,Inj_vol,0.08944394063272666,0.08944394063272666,318789312,200821,Smp,20ppt3C_C,C,200821,318789312,200821_Smp_20ppt3C_C Hypoxanthine,HILICPos,318789312,Hypoxanthine_X_HILICPos,0.6,64.52739864,531315520,4940371.357266913,9259994652,15,0.7727272727272727,1,400,1,1,Hypoxanthine,275192576,266949872,271071224,0.87110214495947,NA,0.013948125173217044,NA,C5H4N4O,5,4,0.06974062586608522,0.055792500692868174,45.96843661127442,14.738646281675564,0.0015171415651099242,0.003785456250635075,107.5456644,6.484745457212984e-7
Leucine,"L-Isoleucine, 15N",0.13867999925197447,0.05817965032926232,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C Leucine,HILICPos,0,Leucine_X_HILICPos,0.6,64.52739864,NA,NA,7067934841.045612,66,0,1,400,1,1,Leucine,110801176,56887152,83844164,0.9414548496692643,NA,NA,NA,C6H13NO2,6,1,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
Lysine,"Sulfolactic Acid, 13C3",0.4546266384063291,0.28288796272712263,140055232,200821,Smp,20ppt3C_C,C,200821,484853055.3026548,200821_Smp_20ppt3C_C Lysine,HILICPos,140055232,Lysine_X_HILICPos,0.6,64.52739864,808088425.5044247,7513909.835536101,2443647410.447374,24,0.6363636363636364,1,400,1,1,Lysine,5797551,3231736.25,4514643.625,1.4043291952511563,NA,0.7901004729618273,NA,C6H14N2O2,6,2,4.740602837770964,1.5802009459236546,45.96843661127442,14.738646281675564,0.10312734535349115,0.10721479542448245,107.5456644,4.4079906560798215e-5
Methionine Sulfoxide,"DL-Alanine, D3",0.26136950422778793,0.13406391819703692,134352240,200821,Smp,20ppt3C_C,C,200821,150959081.40068388,200821_Smp_20ppt3C_C Methionine Sulfoxide,HILICPos,134352240,Methionine Sulfoxide_X_HILICPos,0.6,64.52739864,251598469.00113982,2339457.107869611,1705780157.8883414,27,0.5909090909090908,1,400,1,1,Methionine Sulfoxide,51823592,37319500,44571546,0.7503923646364999,NA,0.0466313215295188,NA,C5H11NO3S,5,1,0.233156607647594,0.0466313215295188,45.96843661127442,14.738646281675564,0.005072102182183176,0.003163880904550585,107.5456644,2.167977751110476e-6
Methylmalonyl carnitine,Inj_vol,0.2328619249428167,0.2328619249428167,2468494,200821,Smp,20ppt3C_C,C,200821,2468494,200821_Smp_20ppt3C_C Methylmalonyl carnitine,HILICPos,2468494,Methylmalonyl carnitine_X_HILICPos,0.6,64.52739864,4114156.666666667,38254.97466234135,23603314,55,0.16666666666666663,1,400,1,1,Methylmalonyl carnitine,577596736,429162560,503379648,0.7376420363608672,NA,6.868396350162418e-5,NA,C11H19NO6,11,1,7.55523598517866e-4,6.868396350162418e-5,45.96843661127442,14.738646281675564,1.643570358737332e-5,4.660127001420638e-6,107.5456644,7.025142321942511e-9
Muramic Acid,"Sulfolactic Acid, 13C3",1.3395777292682298,1.0504781705521389,121238,200821,Smp,20ppt3C_C,C,200821,419710.2377352333,200821_Smp_20ppt3C_C Muramic Acid,HILICPos,121238,Muramic Acid_X_HILICPos,0.6,64.52739864,699517.0628920556,6504.372508131119,5033390.007998567,62,0.06060606060606055,1,400,1,1,Muramic Acid,37496880,21520064,29508472,0.8491859939074986,NA,1.7304721030206535e-4,NA,C9H17NO7,9,1,0.0015574248927185882,1.7304721030206535e-4,45.96843661127442,14.738646281675564,3.3880310220004464e-5,1.1741051857470351e-5,107.5456644,1.4481521885679922e-8
N-Acetyl-Serine,Inj_vol,0.7347626630011531,0.7347626630011531,475045,200821,Smp,20ppt3C_C,C,200821,475045,200821_Smp_20ppt3C_C N-Acetyl-Serine,HILICPos,475045,N-Acetyl-Serine_X_HILICPos,0.6,64.52739864,791741.6666666667,7361.911529244936,5005287,59,0.10606060606060608,1,400,1,1,N-Acetyl-Serine,12147998,5002064,8575031,9.192887422562293e-4,NA,0.622603696082607,NA,C5H9NO4,5,1,3.113018480413035,0.622603696082607,45.96843661127442,14.738646281675564,0.06772078212574065,0.04224293630390499,107.5456644,2.8946015609096322e-5
N-Acetylglucosamine,"Sucrose, 13C",0.19488738097508437,0.10482478555766861,798371,200821,Smp,20ppt3C_C,C,200821,927151.9341580613,200821_Smp_20ppt3C_C N-Acetylglucosamine,HILICPos,798371,N-Acetylglucosamine_X_HILICPos,0.6,64.52739864,1545253.223596769,14368.345132440028,92711901.73064235,58,0.12121212121212122,1,400,1,1,N-Acetylglucosamine,10009602.666666666,7299239.333333333,8654421,1.2744885900791303,NA,8.684434072620235e-4,NA,C8H15NO6,8,1,0.006947547258096188,8.684434072620235e-4,45.96843661127442,14.738646281675564,1.5113734053753315e-4,5.892287464295496e-5,107.5456644,6.460090508396345e-8
N-Acetylmuramic acid,"Guanine, 13C-15N2",0.7106509937385331,0.565375435567506,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C N-Acetylmuramic acid,HILICPos,0,N-Acetylmuramic acid_X_HILICPos,0.6,64.52739864,NA,NA,3534088.3030939186,66,0,1,400,1,1,N-Acetylmuramic acid,43292665.6,34824310.4,39058488,1.005284413313447,NA,NA,NA,C11H19NO8,11,1,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
N(e)-Acetyl-Lysine,"DL-Alanine, D3",0.18333749187327886,0.13893679108049622,3235199,200821,Smp,20ppt3C_C,C,200821,3635091.377623559,200821_Smp_20ppt3C_C N(e)-Acetyl-Lysine,HILICPos,3235199,N(e)-Acetyl-Lysine_X_HILICPos,0.6,64.52739864,6058485.629372599,56334.07597761419,62656050.23335154,52,0.21212121212121215,1,400,1,1,N(e)-Acetyl-Lysine,170158368,126873552,148515960,0.5081402241716086,NA,4.976490902114663e-4,NA,C8H16N2O3,8,2,0.00398119272169173,9.952981804229326e-4,45.96843661127442,14.738646281675564,8.660709424073138e-5,6.752982339092964e-5,107.5456644,3.701862593813433e-8
Ophthalmic Acid,"L-Cysteic Acid, D3",0.234771823785395,0.14818185826390443,330353,200821,Smp,20ppt3C_C,C,200821,348703.6996689643,200821_Smp_20ppt3C_C Ophthalmic Acid,HILICPos,330353,Ophthalmic Acid_X_HILICPos,0.6,64.52739864,581172.8327816072,5403.963386380894,24605409.64189385,61,0.0757575757575758,1,400,1,1,Ophthalmic Acid,33304688,28610867.2,30957777.6,0.717341569910475,NA,1.622278318532979e-4,NA,C11H19N3O6,11,3,0.0017845061503862767,4.866834955598937e-4,45.96843661127442,14.738646281675564,3.882024889114025e-5,3.302090885816177e-5,107.5456644,1.6593008749744415e-8
Ornithine,"Sulfolactic Acid, 13C3",0.5318543706202121,0.29816152990562067,141011456,200821,Smp,20ppt3C_C,C,200821,488163378.8181213,200821_Smp_20ppt3C_C Ornithine,HILICPos,141011456,Ornithine_X_HILICPos,0.6,64.52739864,813605631.3635355,7565210.88881325,3113963429.2630463,23,0.6515151515151515,1,400,1,1,Ornithine,17429736,5405138.8,11417437.4,1.1028609755147059,NA,0.40053490697543853,NA,C5H12N2O2,5,2,2.0026745348771926,0.8010698139508771,45.96843661127442,14.738646281675564,0.04356629640926287,0.054351654734182776,107.5456644,1.8621620369823038e-5
PQS,Inj_vol,0.9057997665395887,0.9057997665395887,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C PQS,HILICPos,0,PQS_X_HILICPos,0.6,64.52739864,NA,NA,417574,66,0,1,400,1,1,PQS,8961652,6866994,7914323,0.15091490188554102,NA,NA,NA,C16H21NO2,16,1,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
Propionyl-L-carnitine,"Homarine, D3",0.119713032006298,0.08636648912946966,5670499,200821,Smp,20ppt3C_C,C,200821,5082102.027572929,200821_Smp_20ppt3C_C Propionyl-L-carnitine,HILICPos,5670499,Propionyl-L-carnitine_X_HILICPos,0.6,64.52739864,8470170.045954881,78758.82392107739,170736440.6488474,50,0.24242424242424243,1,400,1,1,Propionyl-L-carnitine,453988128,381576384,417782256,0.8884650051119307,NA,1.4145478602064682e-4,NA,C10H19NO4,10,1,0.0014145478602064683,1.4145478602064682e-4,45.96843661127442,14.738646281675564,3.077215508041729e-5,9.59754263161308e-6,107.5456644,1.3152997548513616e-8
Pyridinedicarboxylic acid,"DL-Histidine, 15N",0.20520472854360763,0.11114575534145048,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C Pyridinedicarboxylic acid,HILICPos,0,Pyridinedicarboxylic acid_X_HILICPos,0.6,64.52739864,NA,NA,5520082.690977415,66,0,1,400,1,1,Pyridinedicarboxylic acid,39710675.2,37501856,38606265.6,1.122524862854691,NA,NA,NA,C7H5NO4,7,1,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
Riboflavin Monophosphate,Inj_vol,0.6350466313723278,0.6350466313723278,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C Riboflavin Monophosphate,HILICPos,0,Riboflavin Monophosphate_X_HILICPos,0.6,64.52739864,NA,NA,4902942,66,0,1,400,1,1,Riboflavin Monophosphate,20313518,13418959,16866238.5,0.8114999332920145,NA,NA,NA,C17H21N4O9P,17,4,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
Sarcosine,"Guanine, 13C-15N2",0.2266744741171311,0.0999045371568561,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C Sarcosine,HILICPos,0,Sarcosine_X_HILICPos,0.6,64.52739864,NA,NA,1124751560.2161045,66,0,1,400,1,1,Sarcosine,35041836,29102372,32072104,0.9452169487907466,NA,NA,NA,C3H7NO2,3,1,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
Serine,"Sulfoacetic Acid, 13C2",0.1211512996063867,0.06019054967582088,40561720,200821,Smp,20ppt3C_C,C,200821,23572042.788986616,200821_Smp_20ppt3C_C Serine,HILICPos,40561720,Serine_X_HILICPos,0.6,64.52739864,39286737.98164436,365302.8525215412,1256380783.9273295,34,0.48484848484848486,1,400,1,1,Serine,7793698,6266045,7029871.5,0.7027594781473061,NA,0.04929554883170397,NA,C3H7NO3,3,1,0.1478866464951119,0.04929554883170397,45.96843661127442,14.738646281675564,0.0032171345687845424,0.003344645626850596,107.5456644,1.3751056104416226e-6
Stachydrine hydrochloride,Inj_vol,0.04003967055306961,0.04003967055306961,12669497,200821,Smp,20ppt3C_C,C,200821,12669497,200821_Smp_20ppt3C_C Stachydrine hydrochloride,HILICPos,12669497,Stachydrine hydrochloride_X_HILICPos,0.6,64.52739864,21115828.333333336,196342.90653313714,1404490811,42,0.36363636363636365,1,400,1,1,Stachydrine hydrochloride,804937152,670439360,737688256,0.8938678995460438,NA,1.9850787754099647e-4,NA,C7H13NO2,7,1,0.0013895551427869752,1.9850787754099647e-4,45.96843661127442,14.738646281675564,3.0228462075783685e-5,1.3468528503041671e-5,107.5456644,1.2920605870439674e-8
Thiamine monophosphate,Inj_vol,1.5329358311792465,1.5329358311792465,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C Thiamine monophosphate,HILICPos,0,Thiamine monophosphate_X_HILICPos,0.6,64.52739864,NA,NA,680175,66,0,1,400,1,1,Thiamine monophosphate,19985204,14985934,17485569,0.9276765252883281,NA,NA,NA,C12H18N4O4PS,12,4,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
Thiamine pyrophosphate,Inj_vol,0.2988886697526228,0.2988886697526228,NA,200821,Smp,20ppt3C_C,C,200821,NA,200821_Smp_20ppt3C_C Thiamine pyrophosphate,HILICPos,0,Thiamine pyrophosphate_X_HILICPos,0.6,64.52739864,NA,NA,56360,66,0,1,400,1,1,Thiamine pyrophosphate,2129530,1649960.25,1889745.125,0.8802890096324529,NA,NA,NA,C12H19N4O7P2S,12,4,NA,NA,45.96843661127442,14.738646281675564,NA,NA,107.5456644,NA
Threonine,"DL-Proline, D7",0.10870823754455275,0.04379655977018261,249333536,200821,Smp,20ppt3C_C,C,200821,182299678.52377653,200821_Smp_20ppt3C_C Threonine,HILICPos,249333536,Threonine_X_HILICPos,0.6,64.52739864,303832797.53962755,2825151.522701714,4283313744.6688604,17,0.7424242424242424,1,400,1,1,Threonine,16596933,9989082,13293007.5,0.8794445154520507,NA,0.16110862526317316,NA,C4H9NO3,4,1,0.6444345010526926,0.16110862526317316,45.96843661127442,14.738646281675564,0.014019065005457153,0.0109310327545806,107.5456644,5.992194149787525e-6
trans Hydroxyl proline,"DL-Alanine, D3",0.15008295258785379,0.08790324345636982,10796030,200821,Smp,20ppt3C_C,C,200821,12130491.993093861,200821_Smp_20ppt3C_C trans Hydroxyl proline,HILICPos,10796030,trans Hydroxyl proline_X_HILICPos,0.6,64.52739864,20217486.655156437,187989.78803980903,386310711.5510057,45,0.31818181818181823,1,400,1,1,trans Hydroxyl proline,68604832,60491384,64548108,0.722881027481688,NA,0.002685917418287537,NA,C5H9NO3,5,1,0.013429587091437684,0.002685917418287537,45.96843661127442,14.738646281675564,2.9214800592421896e-4,1.8223637143846214e-4,107.5456644,1.248733472089432e-7
Trigonelline,Inj_vol,0.055542243824601475,0.055542243824601475,572826560,200821,Smp,20ppt3C_C,C,200821,572826560,200821_Smp_20ppt3C_C Trigonelline,HILICPos,572826560,Trigonelline_X_HILICPos,0.6,64.52739864,954710933.3333334,8877261.009634279,10398788080,10,0.8484848484848485,1,400,1,1,Trigonelline,627330944,525376608,576353776,0.9170730992141947,NA,0.01119681836209272,NA,C7H7NO2,7,1,0.07837772853464904,0.01119681836209272,45.96843661127442,14.738646281675564,0.0017050335907100608,7.596910970048607e-4,107.5456644,7.287855718956257e-7
Trimethyl-L-lysine,"L-Cysteic Acid, D3",0.2874374762099918,0.20318269812340867,6023197,200821,Smp,20ppt3C_C,C,200821,6357778.127442484,200821_Smp_20ppt3C_C Trimethyl-L-lysine,HILICPos,6023197,Trimethyl-L-lysine_X_HILICPos,0.6,64.52739864,10596296.879070807,98528.35014956498,222936070.2655013,49,0.25757575757575757,1,400,1,1,Trimethyl-L-lysine,209783008,132339232,171061120,1.0275082829953681,NA,3.737087864328392e-4,NA,C9H20N2O2,9,2,0.003363379077895553,7.474175728656784e-4,45.96843661127442,14.738646281675564,7.316714088707197e-5,5.071141260747511e-5,107.5456644,3.12739625224311e-8
Trimethylamine N-oxide,Inj_vol,0.08078858232860306,0.08078858232860306,44851928,200821,Smp,20ppt3C_C,C,200821,44851928,200821_Smp_20ppt3C_C Trimethylamine N-oxide,HILICPos,44851928,Trimethylamine N-oxide_X_HILICPos,0.6,64.52739864,74753213.33333334,695083.467570575,4848234064,33,0.5,1,400,1,1,Trimethylamine N-oxide,154863168,120202056,137532612,0.9285654146866996,NA,0.003628503154013757,NA,C3H9NO,3,1,0.010885509462041271,0.003628503154013757,45.96843661127442,14.738646281675564,2.3680399562188816e-4,2.461897167940752e-4,107.5456644,1.0121755742336807e-7
