MassFeature,FinalBMIS,Orig_RSD,FinalRSD,QC_area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,Area,MassFeature_Column,Volume_filtered_L,umolCFiltered,Adjusted_Area_VolNormed,Adjusted_Area_CNormed,Rank,RankPercent
Retinoic Acid,Inj_vol,0.9996434164814659,0.9996434164814659,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Retinoic Acid,RP,0,Retinoic Acid_X_RP,3.6,NA,NA,NA,13,0
RP B12,Inj_vol,0.2995946702327922,0.2995946702327922,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A RP B12,RP,0,RP B12_X_RP,3.6,NA,NA,NA,13,0
S-Farnesyl-L-cysteine Methyl Ester,Inj_vol,1.0773662043703747,1.0773662043703747,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A S-Farnesyl-L-cysteine Methyl Ester,RP,0,S-Farnesyl-L-cysteine Methyl Ester_X_RP,3.6,NA,NA,NA,13,0
Squalene,"Pyridoxal, D3",0.4003944024141612,0.2075389248688012,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Squalene,RP,0,Squalene_X_RP,3.6,NA,NA,NA,13,0
Sulfurol,Inj_vol,0.5381126558826509,0.5381126558826509,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Sulfurol,RP,0,Sulfurol_X_RP,3.6,NA,NA,NA,13,0
Syringaldehyde,Inj_vol,0.11818281772591788,0.11818281772591788,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Syringaldehyde,RP,0,Syringaldehyde_X_RP,3.6,NA,NA,NA,13,0
Syringic Acid,"Pyridoxal, D3",0.8156468740097648,0.6441146603125937,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Syringic Acid,RP,0,Syringic Acid_X_RP,3.6,NA,NA,NA,13,0
Tocopherol (Vit E),Inj_vol,0.7036367799341673,0.7036367799341673,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Tocopherol (Vit E),RP,0,Tocopherol (Vit E)_X_RP,3.6,NA,NA,NA,13,0
Tocotrienol,"Pyridoxal, D3",0.20984522592037413,0.05141335156106091,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Tocotrienol,RP,0,Tocotrienol_X_RP,3.6,NA,NA,NA,13,0
trans Retinal,Inj_vol,0.5087328174136135,0.5087328174136135,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A trans Retinal,RP,0,trans Retinal_X_RP,3.6,NA,NA,NA,13,0
Tryptophan,"L-Tryptophan, D3",0.09721698250854124,0.028534627366679742,24329034,200825,Smp,Ev15SW_A,A,200825,20561849.227145433,200825_Smp_Ev15SW_A Tryptophan,RP,24329034,Tryptophan_X_RP,3.6,NA,5711624.785318176,NA,2,0.8461538461538461
Tryptophol,"Indole 3 Acetic Acid, D5",0.3686357021886068,0.28851328499369877,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Tryptophol,RP,0,Tryptophol_X_RP,3.6,NA,NA,NA,13,0
Vanillic Acid,"L-Tryptophan, D3",0.4692215679383355,0.36416449378819343,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Vanillic Acid,RP,0,Vanillic Acid_X_RP,3.6,NA,NA,NA,13,0
Vanillin,Inj_vol,0.6375005020707009,0.6375005020707009,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Vanillin,RP,0,Vanillin_X_RP,3.6,NA,NA,NA,13,0
Vitamin B1,"Pyridoxal, D3",0.17902197531389755,0.06939483841903514,56091,200825,Smp,Ev15SW_A,A,200825,53400.50559071427,200825_Smp_Ev15SW_A Vitamin B1,RP,56091,Vitamin B1_X_RP,3.6,NA,14833.473775198407,NA,11,0.15384615384615385
Vitamin B2,Inj_vol,0.08922108145730939,0.08922108145730939,50773,200825,Smp,Ev15SW_A,A,200825,50773,200825_Smp_Ev15SW_A Vitamin B2,RP,50773,Vitamin B2_X_RP,3.6,NA,14103.611111111111,NA,12,0.07692307692307687
Vitamin B5,"Pyridoxal, D3",0.3358585039333279,0.178376118136365,412746,200825,Smp,Ev15SW_A,A,200825,392947.978829847,200825_Smp_Ev15SW_A Vitamin B5,RP,412746,Vitamin B5_X_RP,3.6,NA,109152.21634162417,NA,8,0.3846153846153846
Vitamin B6,"L-Tryptophan, D3",0.18022241270286093,0.11846570230736407,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Vitamin B6,RP,0,Vitamin B6_X_RP,3.6,NA,NA,NA,13,0
Vitamin B7,Inj_vol,0.3382320231072136,0.3382320231072136,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Vitamin B7,RP,0,Vitamin B7_X_RP,3.6,NA,NA,NA,13,0
Vitamin B9,"Pyridoxal, D3",0.45899962534879873,0.3327330064666297,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Vitamin B9,RP,0,Vitamin B9_X_RP,3.6,NA,NA,NA,13,0
Vitamin K2,"Pyridoxal, D3",0.3576983752115937,0.1497274003174979,NA,200825,Smp,Ev15SW_A,A,200825,NA,200825_Smp_Ev15SW_A Vitamin K2,RP,0,Vitamin K2_X_RP,3.6,NA,NA,NA,13,0
Xanthine,"Indole 3 Acetic Acid, D5",0.22438185232386687,0.10399397034899559,11961631,200825,Smp,Ev15SW_A,A,200825,11319795.782678496,200825_Smp_Ev15SW_A Xanthine,RP,11961631,Xanthine_X_RP,3.6,NA,3144387.7174106934,NA,3,0.7692307692307692
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.40559102755442344,0.22087670624226607,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A 1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,RP,0,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine_X_RP,0.25,NA,NA,NA,24,0
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,Inj_vol,0.537899526020174,0.537899526020174,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A 1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,RP,0,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine_X_RP,0.25,NA,NA,NA,24,0
"2,4 decadienal",Inj_vol,0.7083091452461996,0.7083091452461996,NA,200825,Smp,Ev32Core_A,A,200825,NA,"200825_Smp_Ev32Core_A 2,4 decadienal",RP,0,"2,4 decadienal_X_RP",0.25,NA,NA,NA,24,0
"2,4 octadienal",Inj_vol,0.6603165844812365,0.6603165844812365,NA,200825,Smp,Ev32Core_A,A,200825,NA,"200825_Smp_Ev32Core_A 2,4 octadienal",RP,0,"2,4 octadienal_X_RP",0.25,NA,NA,NA,24,0
3 Indolebutyric Acid,Inj_vol,0.3453492577105907,0.3453492577105907,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A 3 Indolebutyric Acid,RP,0,3 Indolebutyric Acid_X_RP,0.25,NA,NA,NA,24,0
3 Indolepropionic Acid,Inj_vol,0.26548681911875144,0.26548681911875144,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A 3 Indolepropionic Acid,RP,0,3 Indolepropionic Acid_X_RP,0.25,NA,NA,NA,24,0
3-Indoleacetonitrile,"Indole 3 Acetic Acid, D5",0.20443087139254643,0.02079674471266443,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A 3-Indoleacetonitrile,RP,0,3-Indoleacetonitrile_X_RP,0.25,NA,NA,NA,24,0
3OC10-HSL,Inj_vol,0.20454390911357967,0.20454390911357967,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A 3OC10-HSL,RP,0,3OC10-HSL_X_RP,0.25,NA,NA,NA,24,0
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,66368,200825,Smp,Ev32Core_A,A,200825,66368,200825_Smp_Ev32Core_A 3OC12-HSL,RP,66368,3OC12-HSL_X_RP,0.25,NA,265472,NA,22,0.08333333333333337
3OC6-HSL,Inj_vol,0.7070188314295138,0.7070188314295138,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A 3OC6-HSL,RP,0,3OC6-HSL_X_RP,0.25,NA,NA,NA,24,0
3OC8-HSL,"Pyridoxal, D3",0.629453070752051,0.49019044727562144,78391,200825,Smp,Ev32Core_A,A,200825,100645.66969712457,200825_Smp_Ev32Core_A 3OC8-HSL,RP,78391,3OC8-HSL_X_RP,0.25,NA,402582.6787884983,NA,21,0.125
3OHC12-HSL,Inj_vol,0.3138469423918869,0.3138469423918869,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A 3OHC12-HSL,RP,0,3OHC12-HSL_X_RP,0.25,NA,NA,NA,24,0
7-dehydrocholesterol,Inj_vol,0.4057659285593424,0.4057659285593424,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A 7-dehydrocholesterol,RP,0,7-dehydrocholesterol_X_RP,0.25,NA,NA,NA,24,0
Abscisic Acid,Inj_vol,0.5948010832827125,0.5948010832827125,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Abscisic Acid,RP,0,Abscisic Acid_X_RP,0.25,NA,NA,NA,24,0
Acetosyringone,Inj_vol,0.24792455412610317,0.24792455412610317,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Acetosyringone,RP,0,Acetosyringone_X_RP,0.25,NA,NA,NA,24,0
Acetovanillone,Inj_vol,0.7897289637909989,0.7897289637909989,129799,200825,Smp,Ev32Core_A,A,200825,129799,200825_Smp_Ev32Core_A Acetovanillone,RP,129799,Acetovanillone_X_RP,0.25,NA,519196,NA,19,0.20833333333333337
Adenosyl Methionine,"Pyridoxal, D3",0.20093786936184893,0.05518582534394999,8100127,200825,Smp,Ev32Core_A,A,200825,10399697.752889497,200825_Smp_Ev32Core_A Adenosyl Methionine,RP,8100127,Adenosyl Methionine_X_RP,0.25,NA,41598791.01155799,NA,5,0.7916666666666666
Agmatine,"Pyridoxal, D3",0.27964473821831304,0.11447681712334207,2679699,200825,Smp,Ev32Core_A,A,200825,3440447.2508542445,200825_Smp_Ev32Core_A Agmatine,RP,2679699,Agmatine_X_RP,0.25,NA,13761789.003416978,NA,7,0.7083333333333333
Aminobenzoic Acid,Inj_vol,0.5114016306311635,0.5114016306311635,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Aminobenzoic Acid,RP,0,Aminobenzoic Acid_X_RP,0.25,NA,NA,NA,24,0
C10-HSL,Inj_vol,0.9262008018419345,0.9262008018419345,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A C10-HSL,RP,0,C10-HSL_X_RP,0.25,NA,NA,NA,24,0
C12-HSL,Inj_vol,0.20572058228250228,0.20572058228250228,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A C12-HSL,RP,0,C12-HSL_X_RP,0.25,NA,NA,NA,24,0
C14-HSL,"L-Phenylalanine, D8",0.14169400209760427,0.08547569526667295,713445,200825,Smp,Ev32Core_A,A,200825,797892.8020038143,200825_Smp_Ev32Core_A C14-HSL,RP,713445,C14-HSL_X_RP,0.25,NA,3191571.208015257,NA,13,0.45833333333333337
C4-HSL,"Indole 3 Acetic Acid, D5",0.49066820013581464,0.367452377816696,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A C4-HSL,RP,0,C4-HSL_X_RP,0.25,NA,NA,NA,24,0
C6-HSL,Inj_vol,1.2210316309898446,1.2210316309898446,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A C6-HSL,RP,0,C6-HSL_X_RP,0.25,NA,NA,NA,24,0
C8-HSL,Inj_vol,0.5414204917688966,0.5414204917688966,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A C8-HSL,RP,0,C8-HSL_X_RP,0.25,NA,NA,NA,24,0
Caffeine,Inj_vol,0.48306858005634506,0.48306858005634506,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Caffeine,RP,0,Caffeine_X_RP,0.25,NA,NA,NA,24,0
Camalexin,Inj_vol,0.6476252141375256,0.6476252141375256,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Camalexin,RP,0,Camalexin_X_RP,0.25,NA,NA,NA,24,0
Carotene,Inj_vol,0.24876858783416217,0.24876858783416217,339747,200825,Smp,Ev32Core_A,A,200825,339747,200825_Smp_Ev32Core_A Carotene,RP,339747,Carotene_X_RP,0.25,NA,1358988,NA,16,0.33333333333333337
cinnamoyl-HSL,Inj_vol,0.715640120116691,0.715640120116691,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A cinnamoyl-HSL,RP,0,cinnamoyl-HSL_X_RP,0.25,NA,NA,NA,24,0
Coenzyme B12,Inj_vol,1.0447508835915482,1.0447508835915482,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Coenzyme B12,RP,0,Coenzyme B12_X_RP,0.25,NA,NA,NA,24,0
Coenzyme Q1,Inj_vol,0.37887335009514855,0.37887335009514855,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Coenzyme Q1,RP,0,Coenzyme Q1_X_RP,0.25,NA,NA,NA,24,0
Coenzyme Q10,Inj_vol,0.21913840860552228,0.21913840860552228,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Coenzyme Q10,RP,0,Coenzyme Q10_X_RP,0.25,NA,NA,NA,24,0
Cys-Gly,Inj_vol,0.47254606595266346,0.47254606595266346,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Cys-Gly,RP,0,Cys-Gly_X_RP,0.25,NA,NA,NA,24,0
Decarboxylated S-Adenosylmethionine,Inj_vol,0.40109385236301076,0.40109385236301076,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Decarboxylated S-Adenosylmethionine,RP,0,Decarboxylated S-Adenosylmethionine_X_RP,0.25,NA,NA,NA,24,0
Desthiobiotin,Inj_vol,0.20795488755562141,0.20795488755562141,98562,200825,Smp,Ev32Core_A,A,200825,98562,200825_Smp_Ev32Core_A Desthiobiotin,RP,98562,Desthiobiotin_X_RP,0.25,NA,394248,NA,20,0.16666666666666663
Dimethyl glycine,"Pyridoxal, D3",0.41237449063336584,0.26687834500513763,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Dimethyl glycine,RP,0,Dimethyl glycine_X_RP,0.25,NA,NA,NA,24,0
Dimethyl-benzimidazole,Inj_vol,1.2903183502445554,1.2903183502445554,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Dimethyl-benzimidazole,RP,0,Dimethyl-benzimidazole_X_RP,0.25,NA,NA,NA,24,0
Domoic Acid,Inj_vol,1.2472257273016407,1.2472257273016407,49290,200825,Smp,Ev32Core_A,A,200825,49290,200825_Smp_Ev32Core_A Domoic Acid,RP,49290,Domoic Acid_X_RP,0.25,NA,197160,NA,23,0.04166666666666663
Ethyl 3 aminobenzoate,Inj_vol,0.40480703257741996,0.40480703257741996,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Ethyl 3 aminobenzoate,RP,0,Ethyl 3 aminobenzoate_X_RP,0.25,NA,NA,NA,24,0
Ferulic Acid,Inj_vol,0.6743221319126758,0.6743221319126758,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Ferulic Acid,RP,0,Ferulic Acid_X_RP,0.25,NA,NA,NA,24,0
Glutathione,Inj_vol,0.45998365920831963,0.45998365920831963,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Glutathione,RP,0,Glutathione_X_RP,0.25,NA,NA,NA,24,0
HHQ,Inj_vol,1.395505387136098,1.395505387136098,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A HHQ,RP,0,HHQ_X_RP,0.25,NA,NA,NA,24,0
Homoserine lactone,Inj_vol,0.5061004956459786,0.5061004956459786,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Homoserine lactone,RP,0,Homoserine lactone_X_RP,0.25,NA,NA,NA,24,0
Hydroxo B12,Inj_vol,0.0909966581224534,0.0909966581224534,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Hydroxo B12,RP,0,Hydroxo B12_X_RP,0.25,NA,NA,NA,24,0
IAA,"Indole 3 Acetic Acid, D5",0.1318408012182572,0.03268687699011025,1587021,200825,Smp,Ev32Core_A,A,200825,1694041.0714154828,200825_Smp_Ev32Core_A IAA,RP,1587021,IAA_X_RP,0.25,NA,6776164.285661931,NA,10,0.5833333333333333
Indole 3 acetamide,"L-Tryptophan, D3",0.19606749936632245,0.12917385262328485,354421,200825,Smp,Ev32Core_A,A,200825,323422.5093685499,200825_Smp_Ev32Core_A Indole 3 acetamide,RP,354421,Indole 3 acetamide_X_RP,0.25,NA,1293690.0374741997,NA,15,0.375
Indole 3 carboxylic acid,Inj_vol,0.30740140917207026,0.30740140917207026,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Indole 3 carboxylic acid,RP,0,Indole 3 carboxylic acid_X_RP,0.25,NA,NA,NA,24,0
Indole 3 Lactic Acid,"Indole 3 Acetic Acid, D5",0.13602271879881334,0.06319439637400319,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Indole 3 Lactic Acid,RP,0,Indole 3 Lactic Acid_X_RP,0.25,NA,NA,NA,24,0
Indole 3 methyl acetate,Inj_vol,0.22303827334456167,0.22303827334456167,176447,200825,Smp,Ev32Core_A,A,200825,176447,200825_Smp_Ev32Core_A Indole 3 methyl acetate,RP,176447,Indole 3 methyl acetate_X_RP,0.25,NA,705788,NA,17,0.29166666666666663
Isobutyryl-L-carnitine,"L-Tryptophan, D3",0.10907489454654314,0.029409346606318,17054300,200825,Smp,Ev32Core_A,A,200825,15562690.984800734,200825_Smp_Ev32Core_A Isobutyryl-L-carnitine,RP,17054300,Isobutyryl-L-carnitine_X_RP,0.25,NA,62250763.939202935,NA,4,0.8333333333333334
Kynurenine,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.12063919099795799,0.04819700056220014,3203971,200825,Smp,Ev32Core_A,A,200825,4099561.2217134456,200825_Smp_Ev32Core_A Kynurenine,RP,3203971,Kynurenine_X_RP,0.25,NA,16398244.886853782,NA,6,0.75
Melatonin,Inj_vol,0.5903009219662884,0.5903009219662884,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Melatonin,RP,0,Melatonin_X_RP,0.25,NA,NA,NA,24,0
Methyl B12,Inj_vol,0.40637092024289656,0.40637092024289656,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Methyl B12,RP,0,Methyl B12_X_RP,0.25,NA,NA,NA,24,0
Methyl indole 3 carboxylate,Inj_vol,0.6507327479399635,0.6507327479399635,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Methyl indole 3 carboxylate,RP,0,Methyl indole 3 carboxylate_X_RP,0.25,NA,NA,NA,24,0
Methylthioadenosine,"L-Tryptophan, D3",0.215281330336489,0.12625504597926313,1599383,200825,Smp,Ev32Core_A,A,200825,1459497.2174374529,200825_Smp_Ev32Core_A Methylthioadenosine,RP,1599383,Methylthioadenosine_X_RP,0.25,NA,5837988.8697498115,NA,9,0.625
Monesin,"Pyridoxal, D3",0.44056448703004986,0.2623698517746278,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Monesin,RP,0,Monesin_X_RP,0.25,NA,NA,NA,24,0
p-Coumaric Acid,Inj_vol,1.2622177336795461,1.2622177336795461,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A p-Coumaric Acid,RP,0,p-Coumaric Acid_X_RP,0.25,NA,NA,NA,24,0
p-Coumoroyl-HSL,Inj_vol,0.1523253746164513,0.1523253746164513,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A p-Coumoroyl-HSL,RP,0,p-Coumoroyl-HSL_X_RP,0.25,NA,NA,NA,24,0
Phenylalanine,"L-Phenylalanine, D8",0.09603731843108848,0.019679772116268663,765918400,200825,Smp,Ev32Core_A,A,200825,856577281.0549912,200825_Smp_Ev32Core_A Phenylalanine,RP,765918400,Phenylalanine_X_RP,0.25,NA,3426309124.219965,NA,1,0.9583333333333334
Pyridoxal,"Pyridoxal, D3",0.269915162357458,0.10915616510032004,2489734,200825,Smp,Ev32Core_A,A,200825,3196552.484311984,200825_Smp_Ev32Core_A Pyridoxal,RP,2489734,Pyridoxal_X_RP,0.25,NA,12786209.937247936,NA,8,0.6666666666666667
Pyridoxal Phosphate,"Pyridoxal, D3",0.8525268256943245,0.6280626458206575,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Pyridoxal Phosphate,RP,0,Pyridoxal Phosphate_X_RP,0.25,NA,NA,NA,24,0
Pyridoxamine,Inj_vol,0.5689351396365038,0.5689351396365038,404027,200825,Smp,Ev32Core_A,A,200825,404027,200825_Smp_Ev32Core_A Pyridoxamine,RP,404027,Pyridoxamine_X_RP,0.25,NA,1616108,NA,14,0.41666666666666663
Retinoic Acid,Inj_vol,0.9996434164814659,0.9996434164814659,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Retinoic Acid,RP,0,Retinoic Acid_X_RP,0.25,NA,NA,NA,24,0
RP B12,Inj_vol,0.2995946702327922,0.2995946702327922,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A RP B12,RP,0,RP B12_X_RP,0.25,NA,NA,NA,24,0
S-Farnesyl-L-cysteine Methyl Ester,Inj_vol,1.0773662043703747,1.0773662043703747,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A S-Farnesyl-L-cysteine Methyl Ester,RP,0,S-Farnesyl-L-cysteine Methyl Ester_X_RP,0.25,NA,NA,NA,24,0
Squalene,"Pyridoxal, D3",0.4003944024141612,0.2075389248688012,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Squalene,RP,0,Squalene_X_RP,0.25,NA,NA,NA,24,0
Sulfurol,Inj_vol,0.5381126558826509,0.5381126558826509,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Sulfurol,RP,0,Sulfurol_X_RP,0.25,NA,NA,NA,24,0
Syringaldehyde,Inj_vol,0.11818281772591788,0.11818281772591788,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Syringaldehyde,RP,0,Syringaldehyde_X_RP,0.25,NA,NA,NA,24,0
Syringic Acid,"Pyridoxal, D3",0.8156468740097648,0.6441146603125937,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Syringic Acid,RP,0,Syringic Acid_X_RP,0.25,NA,NA,NA,24,0
Tocopherol (Vit E),Inj_vol,0.7036367799341673,0.7036367799341673,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Tocopherol (Vit E),RP,0,Tocopherol (Vit E)_X_RP,0.25,NA,NA,NA,24,0
Tocotrienol,"Pyridoxal, D3",0.20984522592037413,0.05141335156106091,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Tocotrienol,RP,0,Tocotrienol_X_RP,0.25,NA,NA,NA,24,0
trans Retinal,Inj_vol,0.5087328174136135,0.5087328174136135,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A trans Retinal,RP,0,trans Retinal_X_RP,0.25,NA,NA,NA,24,0
Tryptophan,"L-Tryptophan, D3",0.09721698250854124,0.028534627366679742,127765696,200825,Smp,Ev32Core_A,A,200825,116591009.03033201,200825_Smp_Ev32Core_A Tryptophan,RP,127765696,Tryptophan_X_RP,0.25,NA,466364036.12132806,NA,2,0.9166666666666666
Tryptophol,"Indole 3 Acetic Acid, D5",0.3686357021886068,0.28851328499369877,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Tryptophol,RP,0,Tryptophol_X_RP,0.25,NA,NA,NA,24,0
Vanillic Acid,"L-Tryptophan, D3",0.4692215679383355,0.36416449378819343,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Vanillic Acid,RP,0,Vanillic Acid_X_RP,0.25,NA,NA,NA,24,0
Vanillin,Inj_vol,0.6375005020707009,0.6375005020707009,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Vanillin,RP,0,Vanillin_X_RP,0.25,NA,NA,NA,24,0
Vitamin B1,"Pyridoxal, D3",0.17902197531389755,0.06939483841903514,151999,200825,Smp,Ev32Core_A,A,200825,195150.47834946917,200825_Smp_Ev32Core_A Vitamin B1,RP,151999,Vitamin B1_X_RP,0.25,NA,780601.9133978767,NA,18,0.25
Vitamin B2,Inj_vol,0.08922108145730939,0.08922108145730939,1327974,200825,Smp,Ev32Core_A,A,200825,1327974,200825_Smp_Ev32Core_A Vitamin B2,RP,1327974,Vitamin B2_X_RP,0.25,NA,5311896,NA,12,0.5
Vitamin B5,"Pyridoxal, D3",0.3358585039333279,0.178376118136365,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Vitamin B5,RP,0,Vitamin B5_X_RP,0.25,NA,NA,NA,24,0
Vitamin B6,"L-Tryptophan, D3",0.18022241270286093,0.11846570230736407,1358962,200825,Smp,Ev32Core_A,A,200825,1240104.0011074496,200825_Smp_Ev32Core_A Vitamin B6,RP,1358962,Vitamin B6_X_RP,0.25,NA,4960416.004429799,NA,11,0.5416666666666667
Vitamin B7,Inj_vol,0.3382320231072136,0.3382320231072136,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Vitamin B7,RP,0,Vitamin B7_X_RP,0.25,NA,NA,NA,24,0
Vitamin B9,"Pyridoxal, D3",0.45899962534879873,0.3327330064666297,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Vitamin B9,RP,0,Vitamin B9_X_RP,0.25,NA,NA,NA,24,0
Vitamin K2,"Pyridoxal, D3",0.3576983752115937,0.1497274003174979,NA,200825,Smp,Ev32Core_A,A,200825,NA,200825_Smp_Ev32Core_A Vitamin K2,RP,0,Vitamin K2_X_RP,0.25,NA,NA,NA,24,0
Xanthine,"Indole 3 Acetic Acid, D5",0.22438185232386687,0.10399397034899559,49709032,200825,Smp,Ev32Core_A,A,200825,53061138.969368726,200825_Smp_Ev32Core_A Xanthine,RP,49709032,Xanthine_X_RP,0.25,NA,212244555.8774749,NA,3,0.875
